cz_name,cz_dates,viaf_id,nkc_id,birth,death,debut,firsttrans,langdict
"Lada, Josef",1887-1957,64007805,jk01071364,1887,1957,1917,,
"Lahoda, Zdeněk",1920-,8510507,jk01071384,1920,,1977,,
"Laichter, Josef",1864-1949,38569316,jk01071402,1864,1949,1882,,
"Landovský, Pavel",1936-,25400571,jk01071483,1936,,1969,,
"Langer, František",1888-1965,135145969926032250156,jk01071520,1888,1965,1910,,
"Langer, Jiří",1894-1943,79081562,jk01071526,1894,1943,1937,,
"Langer, Milan",1944-2017,84013140,jn20000401601,1944,2017,0,,
"Lazecký, František",1905-1984,57026527,jk01071691,1905,1984,1930,,
"Lázňovský, Michal",1947-,64092603,jk01071703,1947,,1983,,
"Lebeda, Jan",1936-,84604561,mzk2005269619,1936,,2004,,
"Legátová, Květa",1919-2012,8454160,jk01100201,1919,2012,1957,,
"Lhotová, Dagmar",1929-,311111706,jk01072027,1929,,1961,,
"Lier, Jan",1852-1917,14326425,jk01072098,1852,1917,1883,,
"Linhartová, Věra",1938-,40528398,jk01072187,1938,,1964,,
"Lírová, Jindra",1955-,83998950,jn19990209494,1955,,1997,,
"Listopad, František",1921-2017,7803337,jk01072248,1921,2017,1945,,
"Lomová, Lucie",1964-,12599639,xx0026705,1964,,2004,,
"Loukotková, Jarmila",1923-2007,36985688,jk01072489,1923,2007,1940,,
"Lukešová, Milena",1922-2008,54668374,jk01072640,1922,2008,1966,,
"Lustig, Arnošt",1926-2011,109645153,jk01072683,1926,2011,1958,,
"Lysohorsky, Óndra",1905-1989,66513382,jk01072721,1905,1989,1958,,
"Macek, Petr",1981-,21844440,mzk2004223509,1981,,2002,,
"Mácha, Karel Hynek",1810-1836,95263761,jk01072915,1810,1836,1836,,
"Machar, Josef Svatopluk",1864-1942,32029935,jk01072996,1864,1942,1887,,
"Macourek, Miloš",1926-2002,107600220,jk01072813,1926,2002,1958,,
"Macura, Vladimír",1945-1999,115858496,jk01072821,1945,1999,1977,,
"Mahen, Jiří",1882-1939,61589020,jk01072867,1882,1939,1900,,
"Mahler, Zdeněk",1928-2018,268709643,jk01072871,1928,2018,1954,,
"Majerová, Marie",1882-1967,52272,jk01073121,1882,1967,1907,,
"Malík, Jan",1904-1980,29340491,jk01073238,1904,1980,1932,,
"Malínská, Anna",1919-,83816563,jk01073263,1919,,1950,,
"Malířová, Helena",1877-1940,47255955,jk01073278,1877,1940,1901,,
"Mališ, Oskar",1900-1965,83816674,jk01073281,1900,1965,1943,,
"Malý, Miloš",1908-,59086097,jk01073361,1908,,1940,,
"Malý, Radek",1977-,15960240,xx0000314,1977,,2001,,
"Maňák, Vratislav",1988-,101581250,js20091030005,1988,,2011,,
"Maralík, Milan",1912-1987,159994995,jk01080070,1912,1987,1938,,
"Marek, Jiří",1914-1994,45112529,jk01080125,1914,1994,1937,,
"Mareš, Míra",1899-1980,83818493,jk01080185,1899,1980,1944,,
"Maria, Jaroslav",1870-1942,24206542,jk01080237,1870,1942,1898,,
"Marková, Dagmar",1935-,36961133,jk01080260,1935,,1979,,
"Markup, František",1902-1970,306138566,jk01080272,1902,1970,1938,,
"Marten, Miloš",1883-1917,233502846,jk01080318,1883,1917,1903,,
"Martin, Eduard",1951-,61960212,jk01080322,1951,,1975,,
"Martinec, Jan",1915-1995,32482080,jk01080337,1915,1995,1949,,
"Martínek, Vojtěch",1887-1960,2769242,jk01080362,1887,1960,1908,,
"Maruna, Jan",1949-,84579686,mzk2004236668,1949,,2000,,
