cz_name,cz_dates,viaf_id,nkc_id,birth,death,debut,firsttrans,langdict
"Staňková, Marta",1927-2012,83906147,jk01120882,1927,2012,1975,,
"Stanovský, Vladislav",1922-2005,83906181,jk01120894,1922,2005,1948,,
"Stašek, Antal",1843-1931,13115405,jk01120951,1843,1931,1872,,
"Stavinoha, František",1928-2006,57024295,jk01120970,1928,2006,1968,,
"Štech, Václav",1859-1947,69728920,jk01010145,1859,1947,1886,,
"Štefl, Jiří",1904-1961,33724661,jk01131186,1904,1961,1930,,
"Steklač, Vojtěch",1945-,97138710,jk01121138,1945,,1968,,
"Štengl, Petr",1960-,85498084,xx0032166,1960,,2005,,
"Štěpán, Ludvík",1943-2009,20090382,jk01131260,1943,2009,1973,,
"Štětina, Jaromír",1943-,3771347,jk01131387,1943,,1979,,
"Štětinová, Dagmar",1927-,60467673,jk01131391,1927,,1975,,
"Stieber, Mirko",1945-,46408744,jk01121190,1945,,1971,,
"Stingl, Miloslav",1930-,34983890,jk01121199,1930,,1962,,
"Štíplová, Ljuba",1930-2009,17292795,jk01131441,1930,2009,1963,,
"Štorch, Eduard",1878-1956,37689947,jk01131478,1878,1956,1904,,
"Štorkán, Karel",1923-2007,67016181,jk01131496,1923,2007,1954,,
"Šťovíček, Vratislav",1936-2004,50047352,jn20010309676,1936,2004,1992,,
"Straka, Josef",1972-,83544454,jo2004213700,1972,,2004,,
"Stránský, Jiří",1931-2019,119368156,jk01121359,1931,2019,1969,,
"Štroblová, Jana",1936-,269914833,jk01131531,1936,,1958,,
"Stroupežnický, Ladislav",1850-1892,3910920,jk01121504,1850,1892,1876,,
"Struhar, Stanislav",1964-,8308288,jn20020124012,1964,,2004,,
"Stuchl, Vladimír",1922-1990,7907203,jk01121592,1922,1990,1943,,
"Stýblová, Valja",1922-,20095216,jk01121647,1922,,1957,,
"Suchl, Jan",1928-,56623061,jk01121710,1928,,1961,,
"Suchý, Josef",1923-2003,42784054,jk01121737,1923,2003,1963,,
"Šusta, Stanislav",1923-,79517671,jk01131742,1923,,1972,,
"Šustr, Vladimír",1913-1987,485149,jk01131762,1913,1987,1947,,
"Švandrlík, Miloslav",1932-2009,59888262,jk01131832,1932,2009,1960,,
"Švankmajer, Jan",1934-,115219363,jk01131834,1934,,1994,,
"Švankmajerová, Eva",1940-2005,55013093,jn20000402928,1940,2005,1995,,
"Svatopluk, T.",1900-1972,16785588,jk01121858,1900,1972,1933,,
"Švejda, Jiří",1949-,420330,jk01131913,1949,,1975,,
"Svěrák, Zdeněk",1936-,62360050,jk01121890,1936,,1964,,
"Světlá, Karolina",1830-1899,9890083,jk01121895,1830,1899,1860,,
"Svoboda, František X.",1860-1943,71404267,jk01121960,1860,1943,1880,,
"Svobodová, Růžena",1868-1920,50749113,jk01122121,1868,1920,1895,,
"Syrovátka, Oldřich",1911-1977,42381245,jk01122264,1911,1977,1937,,
"Tafel, Jaroslav",1929-1973,50012992,jk01132001,1929,1973,1960,,
"Tanská, Nataša",1929-2014,116307890,jk01132050,1929,2014,1970,,
"Terlecký, Nikolaj",1903-1994,98256631,jk01132240,1903,1994,1946,,
"Těsnohlídek, Rudolf",1882-1928,7520269,jk01132297,1882,1928,1902,,
"Tichý, Jaroslav",1923-2004,22153888,jk01132421,1923,2004,1960,,
"Tilschová, Anna Maria",1873-1957,37717404,jk01132483,1873,1957,1904,,
"Tippmannová, Marie",1886-1965,306139098,jk01132496,1886,1965,1929,,
"Tittelbachová, Libuše",1908-,15494707,jk01132519,1908,,1940,,
"Toman, Josef",1899-1977,57391272,jk01132607,1899,1977,1925,,
"Toman, Karel",1877-1946,3267878,jk01132611,1877,1946,1898,,
"Toman, Marek",1967-,16850420,js20020204004,1967,,1987,,
"Toman, Prokop",1872-1955,83938504,jk01132619,1872,1955,1898,,
"Tomanová, Miroslava",1906-1991,3028585,jk01132648,1906,1991,1944,,
"Tomáš, Josef",1933-,84018123,jn20000402378,1933,,1999,,
"Tomek, Jiří",1944-,17233421,xx0001047,1944,,1987,,
"Tomek, Lubomír",1926-2006,47175362,jk01141067,1926,2006,1979,,
"Tomek, Vratislav Václav",1868-1933,55561809,jk01132710,1868,1933,1890,,
"Tomková, Zuzana",1986-,311791585,jo2014846031,1986,,2015,,
"Topinka, Miloslav",1945-,39791974,jk01132792,1945,,1969,,
"Topol, Filip",1965-2013,78403159,jn99240001195,1965,2013,1991,,
"Topol, Jáchym",1962-,118416563,jn19990209928,1962,,1991,,
"Topol, Josef",1935-2015,76304470,jk01132796,1935,2015,1955,,
"Trefulka, Jan",1929-2012,56629814,jk01140076,1929,2012,1960,,
"Třešňák, Vlastimil",1950-,118416603,jk01140286,1950,,1991,,
"Tréval, Emil",1859-1929,83940609,jk01140085,1859,1929,1897,,
"Trnka, Jiří",1912-1969,27072375,jk01140140,1912,1969,1940,,
"Trojak, Bogdan",1975-,7329100,jn19990008612,1975,,1996,,
"Tučková, Kateřina",1980-,45488087,mzk2006348534,1980,,2005,,
"Tvrdá, Eva",1963-,85510086,xx0033927,1963,,2005,,
"Tyl, Josef Kajetán",1808-1856,57411099,jk01140553,1808,1856,1837,,
"Typlt, Jaromír",1973-,25014406,jn99240001210,1973,,1990,,
"Uhde, Milan",1936-,104028379,jk01140606,1936,,1962,,
"Uher, František",1936-,53178472,jk01140612,1936,,1979,,
"Uhlířová, Lenka",1973-,85049468,ola2007419161,1973,,2008,,
"Urban, Miloš",1967-,10097019,jn99240001220,1967,,1986,,
"Urban, Petr",1960-,78287629,jn19990218106,1960,,1990,,
"Urbánek, Zdeněk",1917-2008,29583837,jk01140872,1917,2008,1939,,
"Urbánková, Dagmar",1972-,2787175,xx0025773,1972,,2004,,
"Vacek, Zdeněk",1976-,134197210,xx0120327,1976,,2010,,
"Vácha, Stanislav",1930-2000,22549042,jk01141121,1930,2000,1965,,
"Váchal, Josef",1884-1969,4996208,jk01141125,1884,1969,1901,,
"Vachek, Emil",1889-1964,32520415,jk01141130,1889,1964,1911,,
"Vaculík, Ludvík",1926-2015,71404246,jk01141068,1926,2015,1958,,
"Valenta, Edvard",1901-1978,92792536,jk01141227,1901,1978,1926,,
"Vančura, Vladislav",1891-1942,34499285,jk01141424,1891,1942,1923,,
"Vaněk Úvalský, Bohuslav",1970-,62467792,jn99240001242,1970,,1994,,
"Vaněk, Karel",1887-1933,8868556,jk01141521,1887,1933,1919,,
"Vanek, Marcel",1964-,15980304,mzk2004148350,1964,,2003,,
"Vaněk, Vladimír",1895-1965,63591697,jk01141543,1895,1965,1925,,
"Vaníček, Zdeněk",1947-,84031639,jn20000620398,1947,,2003,,
"Viewegh, Michal",1962-,44438921,jn19990010021,1962,,1990,,
"Viková-Kunětická, Božena",1862-1934,27874908,jk01142347,1862,1934,1887,,
"Vladislav, Jan",1923-2009,34464240,jk01150006,1923,2009,1944,,
"Vladyka, Ladislav",1893-1956,83957599,jk01150012,1893,1956,1920,,
"Vlasáková, Julie",1860-1931,83957886,jk01150061,1860,1931,1901,,
"Vokolek, Václav",1947-,3275097,jn19981002344,1947,,1987,,
"Volánková, Iva",1964-,14707985,ola200207411,1964,,0,,
"Voleská, Marta",1905-1985,38878422,jk01150488,1905,1985,1927,,
"Volková, Bronislava",1946-,49250791,jn19990210803,1946,,1991,,
"Vondruška, Vlastimil",1955-,14802452,xx0004129,1955,,1987,,
"Vopěnka, Martin",1963-,64422749,jn99240001382,1963,,1989,,
"Voříšková, Marie",1907-,9432935,jk01150732,1907,,1935,,
"Vostrá, Alena",1938-1992,70499407,jk01150760,1938,1992,1964,,
"Vrána, Pavel",1946-,84692772,mzk2007377494,1946,,1994,,
"Vratislav z Mitrovic, Václav",1576-1635,32348156,jk01150938,1576,1635,1850,,
"Vrba, Jan",1889-1961,72171657,jk01150966,1889,1961,1914,,
"Vrbová, Hana",1929-1995,57032342,jk01151014,1929,1995,1963,,
"Vrchlická, Eva",1888-1969,93571182,jk01151035,1888,1969,1925,,
"Vrchlický, Jaroslav",1853-1912,19713400,jk01151037,1853,1912,1875,,
"Vyhlídal, Zdeněk",1934-,26414273,jk01151150,1934,,1958,,
"Vyskočil, Ivan",1929-,11227014,jk01151228,1929,,1961,,
"Wagnerová, Magdalena",1960-,27298685,jo20010086344,1960,,1992,,
"Walló, Olga",1948-,75630418,jk01151391,1948,,1987,,
"Weil, Jiří",1900-1959,17278482,jk01151482,1900,1959,1924,,
"Weiner, Richard",1884-1937,14803378,jk01151496,1884,1937,1901,,
"Weiss, Jan",1892-1972,79130431,jk01151540,1892,1972,1927,,
"Weiss, Otto",1898-1944,3392799,jn20000402679,1898,1944,1998,,
"Wenig, Adolf",1874-1940,102487473,jk01151571,1874,1940,1898,,
"Wenzig, Josef",1807-1876,39642791,jk01151594,1807,1876,1850,,
"Werich, Jan",1905-1980,56658458,jk01151601,1905,1980,1954,,
"Werner, Vilém",1892-1966,83968432,jk01151613,1892,1966,1917,,
"Wernisch, Ivan",1942-,119365018,jk01151615,1942,,1961,,
"Wilden, Theodore",1936-,45627265,jk01151685,1936,,1963,,
"Winter, Zikmund",1846-1912,32047458,jk01151722,1846,1912,1886,,
"Witthedová, Jana",1948-,71311591,jn20000402688,1948,,1997,,
"Wolker, Jiří",1900-1924,29593281,jk01151789,1900,1924,1921,,
"Zábrana, Jan",1931-1984,71448238,jz8001457,1931,1984,1962,,
"Zábranský, David",1977-,85071563,pag2006371412,1977,,2006,,
"Žáček, Jiří",1945-,24882325,jk01152946,1945,,1973,,
"Zacharník, František",1939-,84125747,jo20010085073,1939,,1980,,
"Zahradníček, Jan",1905-1960,76367623,jk01151940,1905,1960,1930,,
"Zahradník, Vincenc",1790-1836,20621915,jk01151965,1790,1836,1831,,
"Zajíček, Pavel",1951-,76391600,jn99240001496,1951,,1990,,
"Žák, Jaroslav",1906-1960,49638770,jk01152975,1906,1960,1937,,
"Zákoucký, Karel",1862-1925,83971138,jk01152035,1862,1925,1890,,
"Zamarovský, Vojtěch",1919-2006,244674003,jk01152053,1919,2006,1949,,
"Žamboch, Miroslav",1972-,26763963,xx0000241,1972,,2000,,
"Zaoral, Zdeněk",1921-1970,83971500,jk01152085,1921,1970,1945,,
"Závada, Vilém",1905-1982,25398924,jk01152210,1905,1982,1927,,
"Zelenka, Petr",1967-,34753327,jn99240001555,1967,,1992,,
"Zeman, Adolf",1882-1952,16821460,jk01152436,1882,1952,1903,,
"Zeman, Josef",1891-1954,83974244,jk01152475,1891,1954,1937,,
"Zeyer, Julius",1841-1901,24621314,jk01152552,1841,1901,1879,,
"Zgustová, Monika",1957-,41994325,jn99240001567,1957,,1997,,
"Zinnerová, Markéta",1942-,8852466,jk01152694,1942,,1965,,
"Zlín, Karel",1937-,61723476,jk01152747,1937,,1969,,
"Zmeškal, Tomáš",1962-,85858246,xx0084376,1962,,2008,,
"Zonová, Anna",1962-,68284728,jo2001100269,1962,,2001,,
"Züngel, Emanuel František",1840-1894,8455397,jn99240001623,1840,1894,1865,,
"Zvolský, Filip Jan",1978-,84161217,jo2004213702,1978,,2010,,
"Mornštajnová, Alena",1963-,85043371,ola2007364886,1963,,2013,,
"Katalpa, Jakuba",1979-,85665084,xx0056509,1979,,2006,,
"Jesenská, Milena",1896-1944,19695848,jk01051564,1896,1944,1925,,
"Hanč, Jan",1916-1963,30931520,jk01033372,1916,1963,1948,,
"Riedlbauchová, Tereza",1977-,55955650,jn20010310144,1977,,2000,,
"Papoušková, Eva",1969-,56368001,xx0028179,1969,,2004,,
"Hořava, Matěj",1980-,309866442,jo2014823129,1980,,2014,,
"Stančík, Petr",1968-,78957723,jo2008411895,1968,,2008,,
"Pech, Miroslav",1986-,305387209,xx0179341,1986,,2013,,
"Štindl, Ondřej",1966-,100873834,xx0103661,1966,,2012,,
"Březina, Jiří",1980-,120121319,xx0114321,1980,,2013,,
"Maceková, Eva",1984-,167801943,jo2011555956,1984,,2012,,
"Mašek, Vojtěch",1977-,84599576,mzk2004261391,1977,,2010,,
"Rubášová, Taťána",1988-,317128199,jo2015884136,1988,,2016,,
"Valová, Vladimíra",1978-,44150999713529872125,osa2017966520,1978,,2017,,
"Böhm, David",1982-,84187666,jo2007274447,1982,,2009,,
"Mlejnek, Josef",1921-2008,83830512,jk01081908,1921,2008,1948,,
"Karbusický, Vladimír",1925-2002,100220388,jk01052993,1925,2002,1953,,
"Janáček, Josef",1925-1994,100221612,jk01050739,1925,1994,1955,,
"Hronek, Jiří",1905-1987,100279919,jk01042862,1905,1987,1945,,
"Galandauer, Jan",1936-,100968244,jk01032280,1936,,1977,,
"Arava-Novotná, Lena",1966-,101593607,pna2009526060,1966,,0,,
"Kaftanová, Irena",1951-,101599917,xx0104386,1951,,2009,,
"Pavlín, Jiří",0-0,102383573,xx0000970,0,0,0,,
"Růžička, Oldřich",0-0,102411839,xx0004739,0,0,1958,,
"Šmíd, Zdeněk",1937-2011,102443548,jn19990209873,1937,2011,1977,,
"Benešová, Alena",0-0,102452626,jk01011655,0,0,1967,,
"Nováček, Jiří",0-0,102453304,jk01090311,0,0,1958,,
"Novotný, Bohuslav",0-0,102453944,jx20031124125,0,0,1981,,
"Čolek, Marek",1964-,102818394,jo2010568545,1964,,0,,
"Wiener, Egon",1947-,103137149,xx0107938,1947,,2009,,
"Richardson, Michael",1953-,103219995,xx0125793,1953,,0,,
"Schneedorfer, Ivan",1937-,106330957,jo2002105552,1937,,2002,,
"Ráček, Milan",1943-,10739336,jn20030313004,1943,,2002,,
"Rákos, Petr",1956-1994,10767442,jn99240001015,1956,1994,1993,,
"Demetz, Peter",1922-,109391577,jk01022197,1922,,1997,,
"Saudek, Jan",1935-,112327728,jn19990009979,1935,,1991,,
"Forman, Miloš",1932-2018,112401195,jk01031567,1932,2018,1994,,
"Sís, Petr",1949-,114231397,jn19981002185,1949,,1995,,
"Voskovec, Jiří",1905-1981,114467667,jk01150746,1905,1981,1927,,
"Drašnar, Jiří",1948-2013,115726757,jn19990209155,1948,2013,1992,,
"Behenský, Petr",1960-,1162414,xx0032365,1960,,2005,,
"Tomeček, Jaromír",1906-1997,118314733,jk01132695,1906,1997,1944,,
"Brdečková, Tereza",1957-,11911520,jn20000400259,1957,,1990,,
"Rečková, Jana",1956-2018,11963767,jn20010310442,1956,2018,1996,,
"Hůrková, V.",0-0,120100286,jx20100330007,0,0,1992,,
"Všetečka, Jiří",1937-,120728567,jk01151088,1937,,1978,,
"Préma, Zuzana",0-0,121307145,mzk2010575236,0,0,0,,
"Doskočilová, Gabriela",0-0,122159397385719300170,kv20201074858,0,0,2020,,
"Kundera, Ludvík",1920-2010,12357881,jk01070892,1920,2010,1946,,
"Zápotocký, Antonín",1884-1957,12505730,jk01152141,1884,1957,1930,,
"Horáček, Petr",1967-,12519500,xx0151165,1967,,1983,,
"Spielvogelová, Vladimíra",0-0,125992633,mzk2010587504,0,0,2010,,
"Utitz, Bedřich",1920-,13035665,jk01140921,1920,,1950,,
"Trinkewitz, Karel",1931-2014,13112719,jn19990008608,1931,2014,1999,,
"Dvořák, Jiří",1970-,14490351,xx0008827,1970,,1988,,
"Steigerwald, Karel",1945-,14513947,jk01121041,1945,,1974,,
"Procházka, Jiří Walker",1959-,14541930,ola2002110922,1959,,1991,,
"Jirásek, Jan",1955-,14968095,jn19990209315,1955,,1986,,
"Kačírková, Eva",1937-,15182125,jk01052376,1937,,1975,,
"Navara, Luděk",1964-,15833213,ola200208374,1964,,1992,,
"Mráz, Miroslav",1925-,1586321,jk01082246,1925,,1961,,
"Rafaj, Oldřich",1934-2010,160127390,jk01101935,1934,2010,1961,,
"Staník, Zsolt",0-0,160818013,xx0005035,0,0,2002,,
"Ross, Hamish",0-0,16155409720608742709,ola2016908273,0,0,2016,,
"Váňová-Čtvrtková, Vlasta",1917-1968,161669190,jk01141606,1917,1968,1941,,
"Rožnovská, Lenka",1972-,166540659,xx0130765,1972,,2010,,
"Kolben, Hans Werner",1922-1945,168417870,mzk2012729755,1922,1945,0,,
"Říha, Václav",1867-1937,16898693,jo2002159936,1867,1937,1900,,
"Řízek, Tomáš",1963-,169675962,jn20010309683,1963,,1995,,
"Luhanová, Hanka",0-0,171558835,xx0135481,0,0,2011,,
"Urban, Jiří",1957-,171819608,xx0134452,1957,,1988,,
"Černý, Václav",1905-1987,17220404,jk01021636,1905,1987,1929,,
"Rasocha, Luděk",0-0,172438450,xx0139167,0,0,1988,,
"Welzl, Jan Eskymo",1868-1948,17300538,jk01151568,1868,1948,1928,,
"Rydvalová, Renata",0-0,173579753,jx20110719023,0,0,2011,,
"Pavlík, Petr",1933-2012,177145858193723022963,jk01092133,1933,2012,1967,,
"Hanák, Mirko",1921-1971,17748849,jk01033358,1921,1971,1971,,
"Zapletal, Miloš",1930-,17758878,jk01152116,1930,,1958,,
"Polách, Bohumír",18071261,18071261,jk01100151,18071261,,0,,
"Fendrych, Martin",1957-,18072280,jn19990218022,1957,,1998,,
"Kavan, František",0-0,180987846,jk01053290,0,0,1970,,
"Hlavsová, Jana Raila",0-0,18152820091400680973,ola2018992951,0,0,2018,,
"Stehlík, Miloslav",1916-1994,18232823,jk01121010,1916,1994,1947,,
"Lund, Johanna",0-0,186148995977459751959,pag2007371413,0,0,2006,,
"Stavarič, Michael",1972-,190769870,jn20010602990,1972,,2009,,
"Obůrková, Eva",1967-,19115378,jo2002106253,1967,,2004,,
"Lieblová, Dagmar",1929-,19197936,jo20010093668,1929,,1977,,
"Augusta, Stanislav",1915-1990,19525040,jk01010425,1915,1990,1943,,
"Král, Petr",1941-2020,19679709,jk01062798,1941,2020,1991,,
"Ludva, Roman",1966-,19833785,jn19990216115,1966,,1996,,
"Fantová, Jana",0-0,201905275,pna2011669140,0,0,0,,
"Gratowa, Julita",0-0,203147093698625001564,mzk2016922531,0,0,2016,,
"Hájek, Tomáš",1964-,2047787,jn99240000340,1964,,1991,,
"Hlaváček, Karel",1874-1898,20480101,jk01041213,1874,1898,1895,,
"Weissová, Helga",1929-,20594044,jn20000728821,1929,,1991,,
"Sojková, Kamila",1901-2000,208817178,jk01120328,1901,2000,1930,,
"Haraštová, Helena",1987-,210990561,jx20111101007,1987,,2016,,
"Stavinoha, Jan",1945-,218621023,ola2016927078,1945,,2016,,
"Kašparů, Jaroslav Max",1950-,21900463,jn20000401324,1950,,1991,,
"Königgratz, Samuel",1973-,21906507,jo20000080470,1973,,0,,
"Volný, Zdeněk",1946-,22773078,jk01150551,1946,,1980,,
"Ptáčník, Karel",1921-2002,22949364,jk01101653,1921,2002,1954,,
"Fusek, Katja",1968-,23063964,jn20030923033,1968,,0,,
"Uher, Josef",1880-1908,23678867,jk01140621,1880,1908,1906,,
"Zykmund, Václav",1914-1984,24180174,jk01152926,1914,1984,1936,,
"Kašpar, Oldřich",1952-,24621351,jk01053198,1952,,1982,,
"Kramerová, Tereza",0-0,249572236,xx0149410,0,0,2010,,
"Koval, Václav",1907-,25082313,jk01062409,1907,,1955,,
"Malinský, Zbyněk",1923-2005,25190265,jk01073271,1923,2005,1972,,
"Pecková Černá, Martina",1976-,254026413,pna2007403461,1976,,0,,
"Lukeš, Rudolf",1923-1976,254786754,jx20040618022,1923,1976,1996,,
"Chovanec, Jan",1934-,254923489,jn20000400398,1934,,1998,,
"Baldessari Plumlovská, Vojtěška",1854-1934,258918131,jk01010670,1854,1934,1899,,
"Pištora, Jiří",1932-1970,25925233,jk01093233,1932,1970,1961,,
"Kantorek, Pavel",1942-2017,26000206,jn19990009878,1942,2017,1990,,
"Zlatníková, Mirka",1965-,26151533662202770659,xx0219307,1965,,2017,,
"Raus, Daniel",1957-,26288975,jn20010523003,1957,,1992,,
"Doležel, Lubomír",1922-2017,263224184,jk01022665,1922,2017,1960,,
"Drábek, Jan",1935-,264048350,jk01022931,1935,,1992,,
"Hanzlík, Josef",1938-2012,266128409,jk01033544,1938,2012,1961,,
"Kohn, Pavel",1929-2017,266644724,jk01061106,1929,2017,1964,,
"Opolský, Jan",1875-1942,26838869,jk01091213,1875,1942,1899,,
"Erben, Eva",1930-,268484467,jn20011121003,1930,,1994,,
"Menzel, Jiří",1938-2020,268496119,jk01081260,1938,2020,1979,,
"Štyrský, Jindřich",1899-1942,27079482,jk01131599,1899,1942,1927,,
"Boxbergerová, Jana",1948-,27152927,jo20000073762,1948,,1996,,
"Prošková, Denisa",1965-,27224408,pna2006337955,1965,,1996,,
"Jürgens, Zuzana",1975-,27323747,js20011212189,1975,,0,,
"Holub, Emil",1847-1902,27367745,jk01041788,1847,1902,1880,,
"Nývlt, Václav",1930-1999,27569164,jk01090868,1930,1999,1962,,
"Sova, Oldřich",1923-2010,27641306,jn19990209786,1923,2010,1964,,
"Kruntorad, Paul",1935-2006,276508538,jn19990004689,1935,2006,0,,
"Nováková, Zuzana",1943-,27994612,jk01102347,1943,,1965,,
"Matocha, Vojtěch",1989-,28152501059410680499,kv2018987893,1989,,2018,,
"Dobeš, Karel",1922-,28484857,jk01022411,1922,,1949,,
"Truneček, Jan",1933-2011,288227325,jk01140259,1933,2011,1981,,
"Pacovský, Jaroslav",1932-1994,2888034,jk01091461,1932,1994,1962,,
"Kot, Aleš",1986-,289900078,xx0190936,1986,,2014,,
"Paterová, Natálie",1991-,290778878,jo2012733527,1991,,2012,,
"Velčovský, Tom",0-0,29161760167621640452,hka20211105277,0,0,2020,,
"Bořkovcová, Věra",1926-,29212294,xx0044291,1926,,0,,
"Reinerová, Lenka",1916-2008,29567579,jk01102220,1916,2008,1956,,
"Karhanová, Věra",0-0,296597609,mzk2013747566,0,0,2011,,
"Erban, Vojta",1913-1981,297740297,jk01030521,1913,1981,1946,,
"Niklíčková, Alexandra",1978-,298615812,mzk2013751044,1978,,2014,,
"Tošovský, Václav",1912-2007,2991649,jk01132808,1912,2007,1944,,
"Kábrtová, Lidmila",1971-,301923994,xx0169540,1971,,2013,,
"Balážová, Jana",1998-,303181187,jo2013763226,1998,,0,,
"Hilbert, Jaroslav",1871-1936,30334550,jk01041035,1871,1936,1896,,
"Baarová, Lída",1914-2000,30389272,jn19990201010,1914,2000,1991,,
"Opekarová, Aneta",1984-,304253258,ola2013767788,1984,,2014,,
"Patrný, Jan",1877-1929,306138731,jk01091929,1877,1929,1899,,
"Šmejkal, Jaromír Václav",1902-1941,306139031,jk01130524,1902,1941,1920,,
"Toucová, Joža",1878-1960,306139107,jk01132815,1878,1960,1914,,
"Trojanová, Jiřina",1921-,306139113,jk01140199,1921,,1953,,
"Krnínský, Jan Matěj",1968-,306140808,jo2005267834,1968,,2001,,
"Culek, Jaroslav",1926-,306142286,ola200207982,1926,,1963,,
"Brodecká, Lenka",1972-,306142717,xx0015088,1972,,2003,,
"Pánek, Josef",1966-,306299235,jo2014802119,1966,,2013,,
"Hons, Josef",1907-2001,309809082,jk01041936,1907,2001,1940,,
"Frýba, Libor",1958-,309868278,mzk2014830702,1958,,2013,,
S.d.Ch.,1970-,310733775,jo2014836492,1970,,2007,,
Viktorie P.,0-0,310733804,jo2014837679,0,0,2014,,
"Daněk, Karel",1928-,311117342,jk01022013,1928,,1961,,
"Pilařová, Ivana",0-0,311482385,mzk2014843438,0,0,2012,,
"Čumba, Ladislav",1976-,316019812,osa2017943178,1976,,2016,,
"Hájek, Jiří",1919-1994,32407590,jk01033050,1919,1994,1944,,
"Janovic, Vladimír",1935-,32409418,jk01051097,1935,,1968,,
"Tomek, Václav Vladivoj",1818-1905,3247552,jk01132708,1818,1905,1842,,
"Kuťák, Jaroslav",1956-,32902868,jn20000620195,1956,,1992,,
"Fibich, Ondřej",1954-,3306743,jn19981001105,1954,,1990,,
"Ruggiero, Mauro",1979-,33157098518772552323,ola2011618677,1979,,2010,,
"Chaloupek, Václav",1949-,3409309,jn20000710018,1949,,1993,,
"Boušek, Karel",1922-2003,34499082,jk01012828,1922,2003,1940,,
"Vojtěchovská, Kateřina",0-0,34697782,xx0026778,0,0,0,,
"Tille, Václav",1867-1937,35494942,jk01132468,1867,1937,1892,,
"Jesenská, Růžena",1863-1940,35981781,jk01051565,1863,1940,1882,,
"Marek, Josef Jaroslav",0-0,36136199,jx20070730024,0,0,1992,,
"Bartíková, Petra",1984-,36152380037401760664,xx0213734,1984,,2017,,
"Šťastný, Alfons Bohumil",1866-1922,36824138,jk01131099,1866,1922,1890,,
"Mařánek, Jiří",1891-1959,37409049,jk01080431,1891,1959,1924,,
"Karous, Antonín",1946-,37570182,xx0150786,1946,,1987,,
"Havlíček, Zbyněk",1922-1969,37741320,jk01040359,1922,1969,1994,,
"Weinberg, Felix Jiri",1928-2012,37903018,xx0095084,1928,2012,2020,,
"Tichý, Jan",1941-,39015741,xx0024952,1941,,1991,,
"Hořejší, Jindřich",1886-1941,39372176,jk01042329,1886,1941,1921,,
"Gaucheron, Jacques",1920-2009,39377589,xx0115952,1920,2009,0,,
"Beneš, Edvard",1884-1948,39418979,jk01011576,1884,1948,1909,,
"Faktor, Jan",1951-,41967147,jn20020723132,1951,,2015,,
"Haas, Ursula",1943-,41981584,ola2010590899,1943,,0,,
"Ludvík, Emil",1917-2007,42328858,jk01072547,1917,2007,0,,
"Přibský, Vladimír",1932-,42395920,jk01101522,1932,,1960,,
"Kolmačka, Pavel",1962-,42764315,jn19990209373,1962,,1994,,
"Burger, Adolf",1917-2016,42774237,xx0036325,1917,2016,1945,,
"Baluch, Jacek",1940-2019,43186080,jn20011018424,1940,2019,1981,,
"Medek, Ivan",1925-2010,44239735,jk01081023,1925,2010,1968,,
"Kostohryz, Josef",1907-1987,45384528,jk01062013,1907,1987,1934,,
"Hurdová, Veronika",1983-,465160667654403560000,ola2013752827,1983,,2013,,
"Fischer, Otokar",1883-1938,46774067,jk01031286,1883,1938,1908,,
"Harant z Polžic a Bezdružic, Kryštof",1564-1621,46896844,jk01040008,1564,1621,1854,,
"Rilke, Rainer Maria",1875-1926,46897170,jn19990007038,1875,1926,1908,,
"Neborová, Hana",0-0,47060694,xx0050193,0,0,1979,,
"Čačalová, Libuše",1950-,47177029,xx0039833,1950,,0,,
"Rosůlek, Jan Václav",1894-1958,47518703,jk01102758,1894,1958,1923,,
"Eversz, Robert",0-0,47829441,xx0066778,0,0,2007,,
"Jílek, Jan",1933-2011,48253367,jk01051690,1933,2011,1966,,
"Šafhauser, Ivan",0-0,49071972,xx0068541,0,0,1983,,
"Patočka, Jan",1907-1977,49229907,jk01091914,1907,1977,1936,,
"Veis, Jaroslav",1946-,49637039,jk01141898,1946,,1976,,
"Hončík, Eduard",1914-1988,49697540,jk01041918,1914,1988,1959,,
"Grosman, Ladislav",1921-1981,49741669,jk01032726,1921,1981,1965,,
"Jilemnický, Peter",1901-1949,50020047,jk01051711,1901,1949,1921,,
"Hilská, Vlasta",1909-1968,50034902,jk01041061,1909,1968,1939,,
"Neff, Ondřej",1945-,5084664,jk01082907,1945,,1978,,
"Vejvoda, Jiří",1951-,50864693,jo2002107920,1951,,1987,,
"Martinek, Libor",1965-,51030624,mzk2002106085,1965,,2001,,
"Peychlová, Bohumíra",1935-,51194307,jk01092920,1935,,1964,,
"Chase, Věra",1970-,51323261,jn19990201025,1970,,1997,,
"Čapek, Jindra",1953-,5133978,jn19981002508,1953,,1991,,
"Dudák, Vladislav",1958-,51936831,jn19990209163,1958,,1994,,
"Janouch, Katerina",1964-,52024031,mzk2005286862,1964,,2005,,
"Neumann, Miroslav",1921-2009,52225504,jk01090069,1921,2009,1976,,
"Ginz, Petr",1928-1944,52820028,xx0032074,1928,1944,2007,,
"Groszová, Sylva",1926-1994,53014596,jk01032744,1926,1994,1961,,
"Volf, Pavel",0-0,53394797,kv2014821715,0,0,2004,,
"Slíva, Vít",1951-,5339744,jn19990209773,1951,,1984,,
"Hlávka, Miloš",1907-1945,53714100,jk01041268,1907,1945,1937,,
"Nádvorníková, Alena",1942-,54034298,jn99240000799,1942,,1966,,
